fawn|হরিণ-শিশু
icq|আই-সি-কিউ
christmas|ক্রিসমাস
ict|আইসিটি
core|মূল
algorithmic|অ্যালগোরিদমিক
deleted|মুছে ফেলা হয়েছে
corn|ভুট্টা
hsl|এইচএসএল
cork|কর্ক
discount|ছাড়
staunchly|দৃঢ়ভাবে
attendance|হাজিরা
dadra|দাদরা
bangalore|বাঙ্গালোর,ব্যাঙ্গালোর
permitted|অনুমোদিত
chapter|অধ্যায়
mimosa|লজ্জাবতী লতা
limitation|সীমাবদ্ধতা
census|জনগণনা
systray|সিস-ট্রে
cowboy|রাখাল
attacks|আক্রমণ
choke|কন্ঠরোধ করা,শ্বাসরোধ করা,শ্বাসরোধ করা,অবরোধ করা,ব্যাহত করা
surround|পরিবেষ্টন করা,পরিবেষ্টন করা
undocumented|ডকুমেন্টবিহীন
dinner|সান্ধ্যভোজ,রাতের খাবার
vengeance|প্রতিশোধ,প্রতিহিংসা
genocide|গণহত্যা
himachal.pradesh|হিমাচল প্রদেশ
efforts|প্রচেষ্টা
alga|সমুদ্র শৈবাল
kbps|কেবিপিএস
prince|রাজপুত্র,রাজ পুত্র
wildcards|ওয়াইল্ডকার্ড
abet|অসৎ কার্যে সাহায্য করা
aha|ওহো,আহা
bata|বাটা
civic|নাগরিক
civil|অসামরিক,অসামরিক,নাগরিক
ppi|পিপিআই
obscene|অশ্লীল
bath|স্নান
accommodate|সমন্বয়বিধান করা,সমন্বয়বিধান করা,থাকার জায়গা করে দেওয়া,মানিয়া নেওয়া
entrepreneur|বিনিয়োগকারী
abed|শয্যাগত,শয্যার উপরে
ppp|পি-পি-পি
coastal|উপকূলবর্তী
tableau|স্থির উপস্থাপনা
existed|ছিল
rely|ভরসা করা,ভরসা করা
32-bit|৩২-বিট
pearl|মুক্তা
indispensable|অপরিহার্য
transform|রূপান্তর,রূপান্তরিত করা
why|কেন,কি জন্য
gif|গিফ,জিআইএফ
anderson|এন্ডার্সন
gid|জি-আই-ডি
astrophysics|জ্যোতিঃপদার্থবিদ্যা
french.polynesia|ফরাসি পলিনেশিয়া
purposely|উদ্দেশ্যপূর্ণভাবে
synthesis|সংশ্লেষণ
head|মাথা,প্রধান,নেতৃত্ব দেওয়া
medium|মাঝারি,মাধ্যম
amateur|অপেশাদার,অপেশাদার
fragrance|সৌরভ
abysmal|অতল স্পর্শ,অগাধ,অন্তহীন
rutherfordium|রাদারফোর্ডিয়াম
attempted|চেষ্টাকৃত
visitation|পরিদর্শন,যাজকীয় পরিদর্শন,দৈবানুগ্রহ
heinous|ঘৃণ্য
heat|তাপ দেওয়া
hear|শোনা
satisfactorily|সন্তোষজনক ভাবে
solar|সৌর
liveliest|চনমনে
removed|অপসারিত
forborne|বিরত থাকা
radial.velocity|অরীয় বেগ
counsel|উপদেশ
eject|বের করে দেওয়া,বের করে দেওয়া
take.over|অধিগ্রহণ করা
malaysia|মালয়েশিয়া
bargain|দরদাম করা,দরদাম করা
ruined|ধ্বংসপ্রাপ্ত
adore|পুজা করা
submitting|দাখিল করা হচ্ছে
zodiac|রাশি,রাশিচক্র
adorn|সাজানো,অলঙ্কৃত করা,অলংকারে সুশোভিত করা
trio|ত্রয়ী
youssef.karam|ইউসুফ কারাম
estonia|এস্তোনিয়া
sun.valley|সান ভ্যালি
decrypt|ডিক্রিপ্ট,ডিক্রিপ্ট করা
everest|এভারেষ্ট
university.city|ইউনিভার্সিটি সিটি
central-left|মাঝের বামদিক
rahu|রাহু
sumon|সুমন
ksendfax|কেসেন্ডফ্যাক্স
annoying|বিরক্তিকর
check|পরীক্ষা করা,পরীক্ষা
regime|জ‍মানা
upheaval|আলোড়ন
faithful|বিশ্বাসী
neatness|পরিচ্ছন্নতা
tip|ইঙ্গিত
til|তিল
beheading|শিরোচ্ছেদ
setting|বৈশিষ্ট্য,মানসমূহ
stagnant|বদ্ধ
whet|শান দেওয়া,ধার দেওয়া,উত্তেজিত করা
falkland|ফকল্যাণ্ড
kerosene|কেরোসিন তেল
evergreen|এভারগ্রিন
picture|ছবি,ছবি
reconsider|পুনর্বিবেচনা,পুনর্বিবেচনা করা,পুনর্বিবেচনা করা
phoenix|ফনিক্স
european.convention|ইউরোপিয়ান কনভেনশন
football|ফুটবল
miscellaneous|বিবিধ
ceremonial.post|আনুষ্ঠানিক পদ
webserver|ওয়েব সার্ভার
shamim|শামীম
andhra|অন্ধ্র
rising|উদয়মান,রাইজিং
ultraviolet|অতিবেগুনী
constrain|বাধ্য করা
hashing|হ্যাশিং
libra|তুলারাশি
sarowar|সারোয়ার,সারোয়ার
faster|দ্রুততর
bullet|বুলেট
rhinelander|ঢ়াইনল্যান্ডার
poor.quality|খারাপ গুনমানসম্পন্ন,খারাপ মান
withhold|পেছনে টেনে রাখা,সংযত করা,আটকানো
moustached|গুঁফো
vietnam|ভিয়েতনাম,ভিয়েতনাম
serious|গুরুতর,গুরুত্বপূর্ণ
nuclei|নিউক্লিয়াস
backward|পশ্চাত্‍
coach|কামরা
san.salvador|সান সালভাদর
remarkable|লক্ষণীয়,অসাধারণ,অদ্ভুত
varying|পরিবর্তনশীল
alternatives|বিকল্প
focus|নির্দিষ্ট করা,ফোকাস করা,কেন্দ্রবিন্দু,ফোকাস করা
livelihood|জীবনযাপন
adjective|বিশেষণ,গুণবাচক শব্দ
roy|রায়
marion|মারিওন
computation|গণনা
colleen|কলিন
displaying|প্রদর্শনরত,প্রদর্শন করছে
amabassasor|রাজদূত,রাষ্ট্রদূত
row|সারি
inverse|বিপরীত,বিপরীত
zionism|প্যালেস্টাইনে ইহুদিদের পুনর্বাসনের আন্দোলন
passage|প্রস্থান
abhorrent|জঘন্য,ঘৃণ্য
rawalpindi|রাওয়ালপিন্ডি
charge|আধান,আধানযুক্ত করা,মূল্য,দায়ীত্ব
musharraf|মুশারফ
unremitted.taxes|অপ্রদর্শিত কর
nobel.prize|নোবেল পুরস্কার
stove|চুল্লি
montevideo|মন্টেভিডিও
federation|ফেডারেশন
advantage|সুবিধা,হসুবিধা,সুযোগ
frequencies|কম্পাঙ্ক
ibrahim|ইব্রাহিম
unfamiliar|অপরিচিত
enqueue|সারিবদ্ধ করা,সারিবদ্ধ করা
artwork|আর্টওয়ার্ক
cook|রাঁধুনি,কুক,রান্না করা,রান্না করা
cool|ঠান্ডা,ঠান্ডা করা
incitement|উত্তেজনা
vladimir|ভ্লাদিমির
level|ধাপ,মাত্রা,স্তর
philippines|ফিলিপাইন
brother|ভাই
corinth|কোরিন্থ
standards|মানদন্ডসমূহ
brothel|পতিতালয়
encroach|জবরদখল করা,জবরদখল করা
quick|দ্রুত,চটপট
lever|লিভার
accumulation|সঞ্চয়,সংগ্রহ,সঞ্চয়,স্তুপ,রাশি
beatific|স্বর্গসুখদায়ক
kisumu|কিসুমু
aseptic|অপচনশীল
invader|হানাদার
klauncher|কেলঞ্চার
porn|অশ্লীল
trend|প্রবণতা
obsolete|পুরাতন
miniterm|মিনিটার্ম
colin|কলিন
journalistic|সাংবাদিকসুলভ
alienator|সম্পত্তি হস্তান্তরকারী
pma|পিএমএ
accounts/groups|অ্যাকাউন্ট/গ্রুপ
bacteria|ব্যাকটেরিয়া
substitute|বিকল্প
distaste|অপছন্দ করা
constitution|সংবিধান
matara|মাতারা
wire-work|তারের জাল
pleased|আনন্দিত
lhasa|লাসা
transcontinental|আন্তর্মহাদেশীয়
agnosticism|অজ্ঞাবাদ
paragraph|অনুচ্ছেদ
marketing|বিপণন
reply|উত্তর,উত্তর দেওয়া
humorist|রসিক
bangui|বাঙ্গুই
pose|অবস্থান গ্রহণ করা
submitted|দাখিলকৃত
alkaline|ক্ষারীয়,ক্ষারীয়
slaying|হত্যা
mali|মালি
water|জল,পানি,জলাশয়,জলভাগ
proto.planet|ভ্রুণ গ্রহ
entertain|চিত্তবিনোদন করা
baseball|বেইসবল
ply|নিয়মিতভাবে চলাচল করা,নিয়মিতভাবে চলাচল করা
groups|দল
toolbar|টুলবার
unidentified|অজ্ঞাতপরিচয়
male|পুরুষ,মালে
noticeable|লক্ষণীয়
healthy|স্বাস্থ্যসম্মত
step.down|পদত্যাগ করা
mumbai|মুম্বাই
guilty|দোষী,দোষী
proud|গর্বিত,গর্ব
mauritius|মরিশাস
james.scott|জেমস্‌ স্কট
cinnamon|দারচিনি
darussalam|দারুসসালাম
hospitality|আতিথেয়তা
valparaiso|ভালপারাইসো
accountrements|পরিচ্ছদ,সামরিক সাজ-সরঞ্জাম
navigation|দিকনির্নয়
emerge|উদ্ভূত হওয়া,উদ্ভূত হওয়া
ngo|এনজিও
mccormick|ম্যাককর্মিক
sri|শ্রী
millennia|হাজার
ethiopian|ইথিওপীয়
parma|পার্মা
modifying|পরিবর্তন করা হচ্ছে
morale|আত্মবিশ্বাস
bribery|ঘুষ আদান প্রদান
durham|ডার্হাম
candice|ক্যান্ডিস
1st|১ম
transferrable|প্রেরনযোগ্য
operational|ক্রিয়াকলাপ সংক্রান্ত
crisis|সঙ্কট
no-salute|কোন অভিবাদন নয়
yourself|স্বয়ং,আপনাকে,তুমি,তুমিই,আপনি,আপনিই
projector|প্রক্ষেপক
vascular|সংবহন নালিকা সংক্রান্ত
scan|স্ক্যান,স্ক্যান করা
helvetica|হেলভেটিকা
athens|এথেন্স
memorial|স্মৃতিচিহ্ন
msn|এমএসএন
unsheathe|খাপ থেকে  খোলা
bases|ভিত্তি
andy|অ্যান্ডি
first-last|প্রথম-শেষ
criteria|বিচারধারা
australian|অষ্ট্রেলীয়,অস্ট্রেলীয়
msb|এমএসবি
today|আজ,আজ
mare.australe|দক্ষিণ সাগর
milford|মিলফোর্ড
bombastic|শব্দাড়ম্বরপূর্ণ,গালভরা
conductor|বাহক,পরিবাহক
sessions|সেশন
clicking|ক্লিক করা হলে
altar|বেদী,পূজাবেদী
postulated|স্বীকৃত
cashier|কোষাধ্যক্ষ,খাজাঞ্চী
mughal.empire|মুঘল সাম্রাজ্য
academician|অ্যাকাডেমির সদস্য
fuel|ইন্ধন,জ্বালানী
playroom|খেলাঘর
northern|উত্তর
first-hand|হাতে-কলমে,হাতে-কলম
sulfur|সালফার
pallavas|পল্লব
sao.paulo|সাও পাওলো
cases|ঘটনা
arpita|অর্পিতা
paralactic|লম্বিত
states|রাষ্ট্রপুঞ্জ,রাজ্য
edible|খাদ্য,ভক্ষ্য
dialed|ডায়ালকৃত
chignon|গুছি
wando|ওয়ান্ডো
khaltipur|খালতিপুর
longitude|দ্রাঘিমাংশ
radon|রেডন
flagship|প্রধান জাহাজ
hullabaloo|চেঁচামেচি
airtel|এয়ারটেল
ferry|ফেরী,ফেরী করা
laughter|হাসি
roundtable|গোলটেবিল
usability|ব্যবহারযোগ্যতা
computerisation|কম্পিউটার-নিয়ন্ত্রিতকরণ
months|মাস
iodine|আয়োডিন
corrupted|বিকৃত
figure|চিত্র
turko-mongolians|তুর্ক-মোঙ্গলিয়ান
numerator|লব
sense|বোধ
backslash|ব্যাকস্ল্যাশ
trouble|বিপদ,অশান্তি
critic|সমালোচক
celsius|সেলসিয়াস
kakul|কাকুল
sharp|ধারাল
serendipity|অনাকাঙ্খিত আবিস্কার
counting|গণনা
conversely|বিপরীতভাবে
bridgetown|ব্রিজটাউন
back.pain|পশ্চাতে ব্যাথা
requirements|প্রয়োজনীয়
boris.yeltsin|বরিস ইয়েল্তসিন
secured|নিরাপদ
monuments|স্মৃতিসৌধ
shining|উজ্জ্বল
infringements|বিধিলঙ্ঘন
rhinoceros|গণ্ডার
big.country|বৃহৎ রাষ্ট্র
fourth|চতুর্থ
ensure|নিশ্চিতকরণ,নিশ্চিতকরণ করা
visualizations|দৃশ্যায়ণ
multiplexed|মাল্টিপ্লেক্সকৃত
springfield|স্প্রিংফিল্ড
levy|কর ধার্য করা
khaleda.zia|খালেদা জিয়া
ancillary.industry|যন্ত্রাংশ শিল্প
ebb-tide|ভাটা
information|তথ্য,তথ্য,অর্থবহ তথ্য
clone|ক্লোন,ক্লোন করা
trinitron|ট্রিনিট্রন
respective|নিজ নিজ
crashed|ক্র্যাশ,ক্র্যাশকৃত,ভেঙে পড়েছে
east.germany|পূর্ব জার্মানি
4th|৪তম,৪র্থ
bhulua|ভুলুয়া
eighth|অষ্টম
branches|শাখা প্রশাখা
basterd|অবৈধ সন্তান
vanadium|ভ্যানাডিয়াম
stupidly|নির্বোধভাবে
meghna|মেঘনা,মেঘনা
cd-rws|সিডি-আরডব্লিউ
miandad|মিয়াঁদাদ
cosmology|সৃষ্টিতত্ত্ব,মহাবিশ্বতত্ত্ব
inform|জানানো,জানা
temporary.star|অস্থায়ী তারা
infidels|কাফের
bengalee|বাঙালী
representation|প্রতিনিধিত্ব
accommodtion|মানিয়া নিতে,উপযোগীকরণ,সুযোগ সুবিধা
refund|ফিরিয়ে দেওয়া
extractor|নিষ্কাশনকারী,নিষ্কর্ষক
acts|আইন
adulterant|ভেজাল দেওয়ার উপকরণ
international.law|আন্তর্জাতিক আইন
mainly|প্রধানত
canary|ক্যানারি
incoming.message|অন্তর্মুখী বার্তা
non-league.sport|নন-লিগ স্পোর্ট
nagaland|নাগাল্যান্ড
wallace|ওয়ালেস
apex|চূড়া
organisation|সংস্থা
ppd|পিপিডি
low-cost|স্বল্প-মূল্যের
amelioration|উনতি,উন্নতি সম্পাদান
farmer|কৃষক
meridian|মেরিডিয়ান
whirlpool|ঘূর্ণি
quick-tempered|রাগী
woodcutter|কাঠুরে
lonely|একাকী
conversations|কথোপকথন
processes|প্রসেস,প্রসেস সমূহ
underneath|তলদেশে
precession|অয়নচলন
conquer|জয় করা,জয় করা
producing|উৎপাদন করা
true.anomaly|প্রকৃত ব্যত্যয়
fern|ফার্ণ
acetone|অ্যাসিটোন
overlap|আংশিকভাবে আবৃত করা,আংশিকভাবে আবৃত করা
imminent|আসন্ন
execute|রান করা
name|নাম,নাম করা,নাম
stir|আন্দোলন,আন্দোলন করা,চলা বা চালানো
advent|আগমন,আবিরর্ভাব
possibilities|সম্ভাবনা
realistic|বাস্তববাদী,বাস্তবসম্মত
poor.state|খারাপ অবস্থা
realise|অনুভব করা
shy|লাজুক
barbuda|বার্বুডা
individually|নিজস্বভাবে
wearisome|শ্রান্তিকর,বিরক্তিকর
ailment|ব্যাধি
populated|জনঅধ্যুষিত
ejaculation|বীর্য নির্গমণ
torch|আলোকবাতি
saqlain.mushtaq|সাকলাইন মুশতাক
catching|সংক্রামক,মুগ্ধকর,আকর্ষণীয়
farewell|বিদায় সম্ভাষণ
zebra|জেবরা,জেবরা
apothecary|ঔষধ ও চিকিৎসা সামগ্রী বিক্রেতা
authenticity|সত্যতা
distributor|পরিবেশক
sunrise|সানরাইজ
alinagar|আলিনগর
abdication|পরিত্যাগ
costliest|সবচেয়ে দামি
reasearch|গবেষণা
intercourse|যৌন-সহবাস
factors|কারণ
profit|লাভ
oklahoma|ওকলাহামা
ambidexter|যার দুহাত সমভাবে কাজ করতে পারে
sanskrit.college|সংস্কৃত কলেজ
factory|ফ্যাক্টরি,কারখানা
liveliness|সজীবতা
parallax|লম্বন
originally|আসলে,মূল
cloves|লবঙ্গ
eagle|ঈগল
propyne|প্রোপেন
theory|তত্ত্ব
watchglass|ওয়াচ-গ্লাস
sha`ban|শাবান
summer.solstice|উত্তরঅয়নান্ত
isotope|আইসোটোপ
previews|প্রাকদর্শন
oasis|মরুদ্যান
categorization|শ্রেণীভুক্তকরণ
all-rounder|অলরাউন্ডার
accommodation|বাসস্থান
acclivity|পাহাড়ের ক্রমোন্নত ভূমিভাগ,চড়াই
populous.muslim|জনবহুল মুসলিম
flare|দাউদাউ করে জ্বলা
walnut.creek|ওয়ালনাট ক্রিক
addax|উত্তর আফ্রিকা ও আরবের বড় হরিন বিশেষ
ill.man|অসুস্থ মানুষ
yuv|ওয়াই-ইউ-ভি
motion|গতি
turn|বাঁক,বদলান
butterflies|প্রজাপতি
preprocessing|প্রিপ্রসেসিং
place|স্থান,রাখা
swine|শূকর
swing|দোলা,ঝোলা
unborn|জন্মায়নি এমন
origin|মূল
suspend|নিলম্বন করা
redhat|রেডহ্যাট
revenue|রাজস্ব
faculty|বিভাগ
symbolic|প্রতীকী
simplified|সরলীকৃত
wither|বিনষ্ট হওয়া,শুকিয়ে যাওয়া,ম্নান হওয়া
array|সারি
george|জর্জ
engineer|ইঞ্জিনিয়ার,প্রকৌশলী
given|প্রদত্ত
necessarily|প্রয়োজনীয়ভাবে
whisky|হুইস্কি,উগ্র মদ্যবিশেষ
district|জেলা,জেলা
lead-in|লিড-ইন
cue/bin|সন্ধান-সূত্র/বাইনারি
lanka|লঙ্কা
plastic|প্লাস্টিক
bahamas|বাহামা দ্বীপপুঞ্জ
mukhopadhyay|মুখোপাধ্যায়
lago|লাগো
chastity|সতীত্ব,ইজ্জত
convention|কনভেনশন
welfare|কল্যাণ,উন্নতি,মঙ্গল
legally|আইনত
scarborough|স্কারবরো
anguilla|অ্যাঙ্গুইল্লা
modernisation|আধুনিকীকরণ
valéncia|ভ্যালেন্সিয়া
hue|রঙের সূক্ষ তারতম্য
spiral|পেচানো
hub|কেন্দ্র
orphan|অনাথ
montenegro|মন্টিনিগ্রো,মন্টেনেগ্রো
alam|আলম
legumes|শিম
alas|হায়-হায়
enigma|ধাঁধা
copy|কপি করা,কপি
basic.functions|মূল কার্যাবলী
specify|উল্লেখ করা,উল্লেখ করা
population|জনসংখ্যা
promethium|প্রমিথিয়াম
wide|প্রশস্ত,প্রশন্ত,চওড়া,বিস্তীর্ণ,দুরপ্রসারিত
headmaster.|প্রধান শিক্ষক
korans|কোরান
framerate|ফ্রেমরেট
hyperthreading|হাইপারথ্রেডিং
accused|অভিযুক্ত,অভিযুক্ত
posix|পজিক্স
aesthetic|সৌন্দর্য বিজ্ঞান বিষয়ক
cards|তাস
common.ownership|সাধারন মালিকানা
outcome|ফলাফল
pulsation|ধুকধুকানি
seri|সেরি
and|এবং
twisting|পাকানো
armored|বর্ম-আচ্ছাদিত
froth|ফেনা
emulated|অনুকরণকৃত
measure|পরিমাপ,পরিমাপ করা,পরিমাপ করা,মাপন
reader|পাঠক
university.of.dhaka|ঢাকা বিশ্ববিদ্যালয়,ঢাকা বিশ্ববিদ্যালয়
ant|পিঁপড়ে
conjec.ture|অনুমান
rent|ভাড়া,ভাড়া করা
any|যেকোন
batting|ব্যাটিং
indeed|বাস্তবিকপক্ষে
prosperity|সচ্ছলতা
conversion|রূপান্তর
transmitter|ট্রান্সমিটার
pcm2|পিসিএম-২
acclimatize|আবহাওয়া বা জলবায়ূতে অভ্যস্ত করনো
malta|মাল্টা
sciences|বিজ্ঞান
ideal|আদর্শ
animation|অ্যানিমেশন
skull|মাথার খুলি
thermometer|থার্মোমিটার
new|নতুন
restaurant|রেস্টুরেন্ট
primaries|প্রাথমিক
singular|একবচন
benin|বেনিন
urge|মিনতি করা,বাসনা
sure|নিশ্চিত,নিশ্চিত
multiple|একাধিক
nitro-glycerin|নাইট্রো-গ্লিসারিন
ukrainian|ইউক্রেইন
printable|ছাপার যোগ্য
neutral.point.of.view|নিরপেক্ষ দৃষ্টিভঙ্গি
2-methyl-2-propanol|২-মিথাইল-২-প্রোপানল
visitors|পরিদর্শক,প্রদর্শক
vindicative|সমর্থনকারী
underruns|আন্ডার-রান
multiply|বংশবৃদ্ধি করা,বৃদ্ধি পাওয়া,বৃদ্ধি করা
arunachal|অরুনাচল
isfahan|ইসফাহান
aerodrome|বিমান ঘাটি
latex|লেটেক্স
annum|বছর
jakarta|জাকার্তা
adopt|অবলম্বন করা,অবলম্বন করা
ghadar|গদর
retrieval|আহরন
koran|কোরান
cortez|কর্টেজ
uncle|কাকা
senior|উর্ধ্বতন
non-empty|খালি নয় এমন
quantity|পরিমাণ,সংখ্যা
detective|গোয়েন্দা
forage|পশুখাদ্য
cheat|প্রতারণা করা
workshops|কর্মশালা
cheap|সস্তা
filenames/urls|ফাইলের নাম/ইউআরএল
troy|ট্রয়
spaces|স্পেস
farzana|ফারজানা
nadir|কুবিন্দু
favor|প্রশ্রয়
zone|অঞ্চল,মেখলা,কটিবন্ধ
occultation|আবরণ
senseless.bet|অর্থহীন বাজি
henry.beveridge’s.india|হেনরী বেভারীজ
crime|অপরাধ
fickle|চঞ্চল
explicitly|স্পষ্টভাবে
nadia|নদীয়া
solar.prominence|সৌরশিখা
wool|পশম
icebox|বরফের বাক্স
ananda.vikatan|আনন্দ বিকেতন
new.york.yankees|নিউ ইয়র্ক ইয়াঙ্কিস
allottee|যাহাকে অংশ নির্দিষ্ট করে দেওয়া হয়
viewpoint|দৃষ্টিভঙ্গি
lighten|আলোকিত করা
reserve.bank.of.india|ভারতীয় রিজার্ভ ব্যাংক
admiration|শ্রদ্ধা
istambul|ইস্তাম্বুল
ssl|এসএসএল
responding|সাড়া দিচ্ছে
ssh|এসএসএইচ
lighter|হালকাতর,হালকাতর
dye|রং করা
installed|ইনস্টল করা আছে,ইনস্টলকৃত
closure|বন্ধ
adonize|নিজেকে সজ্জিত করা
regarding|সম্পর্কে
pinnacle|চূড়া
aluminum|অ্যালুমিনিয়াম
floods|বন্যা
orphans|অনাথ
versions|সংস্করণ
cumin|কাল জিরা
naked|উলঙ্গ
barbaric|বর্বরোচিত
ablactation|শিশুকে স্তন ত্যাগ করানো
bengal.renaissance|বাংলার পূনর্জাগরণ
ignored|উপেক্ষিত
earnest.interest|ঝোঁক
imposing|চিত্তাকর্ষক,দৃষ্টিনন্দন,মনোহর,সমৃদ্ধ
searchplugin|অনুসন্ধান প্লাগিন
financial.info|অর্থকরী তথ্য
maximum|সর্বোচ্চ,সর্বাধিক,সর্বোচ্চ
connections|সংযোগ
rma|আরএমএ
college|মহাবিদ্যালয়,কলেজ
united.nations.security.council|সংযুক্ত রাষ্ট্র সুরক্ষা পরিষদ,জাতিসংঘ নিরাপত্তা পরিষদ
stanley|স্ট্যানলি
back-end|পিছন
professed|ঘোষিত
encouraged|উৎ‍সাহিত
detect|সনাক্তকরণ,সনাক্ত করা
voluntary|স্বেচ্ছাসেবী
mortgage|বন্ধক
farmers|কৃষকগণ
federal|কেন্দ্রীয়
subsequent|পরবর্তী
review|নিরীক্ষণ,পর্যালোচনা,পর্যালোচনা করা,পর্যালোচনা
amen|তাই হোক,আমেন,তথাস্তু
definite|নিশ্চিত
outsourcing|আউটসোর্সিং
its|তার
weapons|অস্ত্রশস্ত্র
importance|গুরুত্ব
outside|বাইরে
arrogant|উদ্ধত
nauru|নাউরু
rebuilds|পুনর্গঠন
cholas|চোল
mime-version|মাইম-সংস্করণ
arrival|আগমন
patricia.haskell|প্যাট্রিসিয়া হাস্কেল
congruent|সমাপতিত
curium|কুরিয়াম
pre|পূর্ব
commercial.product|বাণিজ্যিক দ্রব্য
good-looking|দেখতে ভাল
mtc|এমটিসি
coma|কোমা
dutiful|কর্তব্যনিষ্ঠ
cities|নগরী
come|আস,আসা
postage|ডাকখরচ
reaction|প্রতিক্রিয়া
ytterbium|ইট্ট্রিবিয়াম
libya|লিবিয়া
region|অঞ্চল
contract|চুক্তি
officer|আধিকারিক
managua|মানাগুয়া
standard.deviation|পরিমিত ব্যবধান
memorials|স্মৃতিচিহ্ন
magadan|মাগাদান
senator|সেনেট সদস্য
railway|রেল
duty|কর্তব্য
pakistan|পাকিস্তান
amenability|নম্রতা
afterwards|পরে,পরবর্তীকালে
inrtellectual|পন্ডিত
color|রঙীন,রং
pot|পাত্র
colony|উপনিবেশ
period|পর্যায়কাল
insist|পিড়াপিড়ি করা
hue/saturation/lightness|রঙের সূক্ষ তারতম্য/সম্পৃক্তি/উজ্জ্বলতা
pole|মেরু
vcd2|ভিসিডি২
colon|কোলন,কোলন
handheld|হাতে ব্যবহার্য
log.on|লগ-ওন করা
poll|ভোট
two-year|দ্বি-বার্ষিক
automobile-backed.securities|অটোমোবাইলকে সম্পত্তি দেখিয়ে নিরাপত্তা
turkey|তুরস্ক
lifes|জীবন
abdul|আব্দুল
subscriber|গ্রাহক
waiver|স্বত্বত্যাগ,দাবি ত্যাগ
pci|পিসিআই
gehrig|গেহরিগ
london.sunday.times|লন্ডন সানডে টাইমস্
helicopter|হেলিকপ্টার
upc|ইউপিসি
orissa|উড়িষ্যা
next.one|পরবর্তী
engine|ইঞ্জিন
direction|দিকনির্দেশনা,দিকে,দিক,দিঙ্‌নির্দেশ
transportation|পরিবহণ
indirect|পরক্ষ
blessing|আশির্বাদ
wretched|চরম দুর্দশাগ্রস্ত,হতভাগ্য দুঃখজনক
andrew|অ্যাণ্ড্রু
ostentation|জাঁকজমক
tiger|বাঘ
padlock|তালা
concubine|উপপত্নী
penn|পেন
careful|সতর্ক থাকা
irrelevant|খাপ-ছাড়া
spirit|আত্মা
ahmadia|আহমদিয়া
pilot|বিমানচালক
case|অক্ষরের ছাঁদ,ক্ষেত্র,ঘটনা,খাপ,ঘটনা
myself|স্বয়ং আমি
mount|মাউন্ট করা,মাউন্ট
cash|নগদ,ক্যাশ
cask|তরল জিনিস রাখিবার পিপা
movie|চলচ্চিত্র
cast|নিক্ষেপ করা,ছাচে ঢালা
mofussil|মফস্বল
shops|দোকান
dvd±r|ডিভিডি±আর
uhf|ইউএইচএফ
elgin|এলগিন
odis|ওডিআই
telephone|টেলিফোন
parse|পার্স,পার্স করা
someone|কোনও একজন
kppp|কে-পি-পি-পি
volition|ইচ্ছা
revolutions|বিপ্লব
mode2|মোড২
vivid|তীব্র/জীবন্ত
author|লেখক
alphabet|বর্ণমালা,অক্ষরমালা
seeking|খোঁজা
locking|লক করা হচ্ছে
kpackage|কে-প্যাকেজ
ethiopia|ইথিওপিয়া
ethiopic|ইথিওপিয়
manila|ম্যানিলা
agitated|বিক্ষুদ্ধ
lake.city|লেক সিটি
events|ঘটনা
general.physics|সাধারণ পদার্থবিজ্ঞান
status|অবস্থা
males|ছেলে
screenshot|স্ক্রীনশট
mockery|পরিহাস
kelvin|কেলভিন
downloads|ডাউনলোড
nonresistance|অপ্রতিরোধ
driver|চালক,ড্রাইভার
drives|চালায়
weed|আগাছা,আগাছা
driven|চালিত
devoid|বিহীন
statutory|বিধিসম্মত
easychair|আরামকেদারা
delicate|সুস্বাদু,কমনীয়,শিষ্ট
statue|মূর্তি
bangabandhu|বঙ্গবন্ধু,বঙ্গবন্ধু
changing|পরিবর্তনশীল
weep|কাঁদা,চোখের জল ফেলা
republic.of.yemen|ইয়েমেন প্রজাতন্ত্র
vocalist|গায়ক
electromagnetism|তড়িৎ-চুম্বকীয় তত্ত্ব
modes|মোড
minimize|আড়াল করা,মিনিমাইজ,মিনিমাইজ করা
purposeful|উদ্দেশ্যমূলক
rupee|রুপি,টাকা,টাকা
no|না
western.lines|পাশ্চাত্য ধারা
nationalist.leader|জাতীয়তাবাদী নেতা
eureka|ইউরেকা
melodramatic|অতিনাটকীয়
without|ব্যতীত,ব্যতীত/ছাড়া,(সীমার বাইরে,বিনা,ছাড়া
relief|ত্রাণ
components|উপাদান
termination|সমাপ্ত করা
model|মডেল,নমুনা তৈরি করা,আদল করা
modem|মোডেম
researchers|গবেষকগণ
justify|সমর্থন করা
graymap|গ্রেম্যাপ
clog|অবরোধ করা
social.mediator|সামাজিক মাধ্যম
brisbane|ব্রিসবেন
when|যখন,কখন,সে থেকে
actress|অভিনেত্রী,নটী
clot|জমাট বাঁধা
violent|হিংস্র,তীব্র,প্রচন্ড,উগ্র
cease|বিরত থাকা,শেষ হওয়া,শেষ করা,ক্ষান্ত হওয়া
unicode|ইউনিকোড
godavari|গোদাবরী
internationalization|আন্তর্জাতিকীকরণ
polish|ঘসা-মাজা করা,পোলিশ
fastness|দ্রুততা
announcement|ঘোষণা
samba|সাম্বা
gentleness|ভদ্রতা
hint|আভাস,ইঙ্গিত
aggregator|পুঞ্জীকারক
iso9660|আইএসও৯৬৬০
